name,noize,method,score,error
samples/1.jpeg,COMPLEX_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.909146,"(0,0)",
samples/1.jpeg,COMPLEX_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.909144,"(0,0)",
samples/1.jpeg,COMPLEX_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.909143,"(0,0)",
samples/1.jpeg,DARKEN(0.400000),,0.985202,"(0,0)",
samples/1.jpeg,DARKEN(0.600000),,0.985285,"(0,0)",
samples/1.jpeg,DARKEN(0.800000),,0.985325,"(0,0)",
samples/1.jpeg,DARKEN(1.000000),,0.985329,"(0,0)",
samples/1.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/1.jpeg,ROTATE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.957299,"(2,1)",
samples/1.jpeg,ROTATE(0.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.960465,"(2,1)",
samples/1.jpeg,ROTATE(0.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.946808,"(3,1)",
samples/1.jpeg,ROTATE(1.000000),HOMOGRAPHY_TRANSFORM:,0.988641,"(1,0)",
samples/1.jpeg,ROTATE(1.200000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.956087,"(2,1)",
samples/1.jpeg,ROTATE(1.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.959993,"(2,1)",
samples/1.jpeg,ROTATE(1.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.940471,"(2,1)",
samples/1.jpeg,ROTATE(1.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.947524,"(3,1)",
samples/1.jpeg,STRECH(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.957299,"(2,1)",
samples/1.jpeg,STRECH(0.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.968035,"(3,2)",
samples/1.jpeg,STRECH(0.800000),FAILED,FAILED,FAILED,
samples/1.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.957299,"(2,1)",
samples/1.jpeg,SQUEEZE(0.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.943237,"(4,2)",
