name,noize,method,score,error
samples/1.jpeg,GAUSSIAN_NOISE(0.400000),,0.834581,"(1,0)",
samples/1.jpeg,GAUSSIAN_NOISE(0.600000),MEAN_DENOISING:,0.929755,"(0,0)",
samples/1.jpeg,GAUSSIAN_NOISE(0.800000),MEAN_DENOISING:,0.911315,"(0,0)",
samples/1.jpeg,GAUSSIAN_NOISE(1.000000),MEAN_DENOISING:,0.887762,"(0,-3)",
samples/1.jpeg,GAUSSIAN_NOISE(1.200000),MEAN_DENOISING:,0.845854,"(0,-3)",
samples/1.jpeg,GAUSSIAN_NOISE(1.400000),FAILED,FAILED,FAILED,
samples/4.jpeg,FLAT_UTURIKOMI(0.400000),,0.896446,"(0,1)",
samples/4.jpeg,FLAT_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.918221,"(0,1)",
samples/4.jpeg,FLAT_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.939472,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.944841,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.938128,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.400000),BINARIZATION_MASK:,0.923970,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.600000),BINARIZATION_MASK:,0.907455,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.800000),BINARIZATION_MASK:,0.901127,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(0.400000),,0.834693,"(0,1)",
samples/4.jpeg,COMPLEX_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.946650,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.940849,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.927580,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.825342,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.882250,"(-2184,-211)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.600000),FAILED,FAILED,FAILED,
samples/4.jpeg,DARKEN(0.400000),,0.990081,"(0,0)",
samples/4.jpeg,DARKEN(0.600000),,0.977244,"(2,2)",
samples/4.jpeg,DARKEN(0.800000),,0.989916,"(0,1)",
samples/4.jpeg,DARKEN(1.000000),,0.989928,"(0,1)",
samples/4.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/4.jpeg,ROTATE(0.400000),FAILED,FAILED,FAILED,
samples/4.jpeg,STRECH(0.400000),FAILED,FAILED,FAILED,
samples/4.jpeg,SQUEEZE(0.400000),FAILED,FAILED,FAILED,
samples/4.jpeg,GAUSSIAN_NOISE(0.400000),,0.868567,"(0,0)",
samples/4.jpeg,GAUSSIAN_NOISE(0.600000),,0.828843,"(0,0)",
samples/4.jpeg,GAUSSIAN_NOISE(0.800000),MEAN_DENOISING:,0.904990,"(0,0)",
samples/4.jpeg,GAUSSIAN_NOISE(1.000000),MEAN_DENOISING:,0.868106,"(0,0)",
samples/4.jpeg,GAUSSIAN_NOISE(1.200000),MEAN_DENOISING:,0.817339,"(0,0)",
samples/4.jpeg,GAUSSIAN_NOISE(1.400000),FAILED,FAILED,FAILED,
samples/5.jpeg,FLAT_UTURIKOMI(0.400000),BINARIZATION_MASK:,0.945426,"(0,0)",
samples/5.jpeg,FLAT_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.949002,"(-1,0)",
samples/5.jpeg,FLAT_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.919056,"(0,0)",
samples/5.jpeg,FLAT_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.850962,"(0,0)",
samples/5.jpeg,FLAT_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.825159,"(0,0)",
samples/5.jpeg,FLAT_UTURIKOMI(1.400000),FAILED,FAILED,FAILED,
samples/5.jpeg,COMPLEX_UTURIKOMI(0.400000),BINARIZATION_MASK:,0.963863,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.947118,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.901170,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.871499,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.866601,"(-1,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.400000),BINARIZATION_MASK:,0.840590,"(-1,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.600000),BINARIZATION_MASK:,0.905072,"(-1,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.800000),FAILED,FAILED,FAILED,
samples/5.jpeg,DARKEN(0.400000),,0.982721,"(0,0)",
samples/5.jpeg,DARKEN(0.600000),,0.941374,"(0,1)",
samples/5.jpeg,DARKEN(0.800000),,0.940326,"(0,1)",
samples/5.jpeg,DARKEN(1.000000),,0.969253,"(0,0)",
samples/5.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/5.jpeg,ROTATE(0.400000),BINARIZATION_MASK:,0.853729,"(9,-6)",
samples/5.jpeg,ROTATE(0.600000),FAILED,FAILED,FAILED,
samples/5.jpeg,STRECH(0.400000),BINARIZATION_MASK:,0.853729,"(9,-6)",
samples/5.jpeg,STRECH(0.600000),FAILED,FAILED,FAILED,
samples/5.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:,0.853729,"(9,-6)",
samples/5.jpeg,SQUEEZE(0.600000),FAILED,FAILED,FAILED,
samples/5.jpeg,GAUSSIAN_NOISE(0.400000),,0.814028,"(0,0)",
samples/5.jpeg,GAUSSIAN_NOISE(0.600000),MEAN_DENOISING:,0.878942,"(-1,0)",
samples/5.jpeg,GAUSSIAN_NOISE(0.800000),MEAN_DENOISING:,0.820470,"(-1,0)",
samples/5.jpeg,GAUSSIAN_NOISE(1.000000),FAILED,FAILED,FAILED,
samples/2.jpeg,FLAT_UTURIKOMI(0.400000),,0.868668,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.976807,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.974060,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.967657,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.964779,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.400000),BINARIZATION_MASK:,0.954521,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.600000),BINARIZATION_MASK:,0.953626,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.800000),BINARIZATION_MASK:,0.923751,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(0.400000),,0.900441,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(0.600000),,0.804402,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.972657,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.960395,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.943982,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.400000),BINARIZATION_MASK:,0.954376,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.600000),BINARIZATION_MASK:,0.930603,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.800000),BINARIZATION_MASK:,0.886988,"(0,0)",
